Student Number,First Name,Last Name,Email
999999999,First Name 1,LastName1,xxxxxxxxx@yyyy.zzzz.ca
999999998,First Name 2,LastName2,xxxxxxxxx@yyyy.zzzz.ca
999999997,First Name 3,LastName3,xxxxxxxxx@yyyy.zzzz.ca
999999996,First Name 4,LastName4,xxxxxxxxx@yyyy.zzzz.ca
999999995,First Name 5,LastName5,xxxxxxxxx@yyyy.zzzz.ca
999999994,First Name 6,LastName6,xxxxxxxxx@yyyy.zzzz.ca
999999993,First Name 7,LastName7,xxxxxxxxx@yyyy.zzzz.ca
999999992,First Name 8,LastName8,xxxxxxxxx@yyyy.zzzz.ca
999999991,First Name 9,LastName9,xxxxxxxxx@yyyy.zzzz.ca
999999990,First Name 10,LastName10,xxxxxxxxx@yyyy.zzzz.ca
999999989,First Name 11,LastName11,xxxxxxxxx@yyyy.zzzz.ca
999999988,First Name 12,LastName12,xxxxxxxxx@yyyy.zzzz.ca
999999987,First Name 13,LastName13,xxxxxxxxx@yyyy.zzzz.ca
999999986,First Name 14,LastName14,xxxxxxxxx@yyyy.zzzz.ca
999999985,First Name 15,LastName15,xxxxxxxxx@yyyy.zzzz.ca
999999984,First Name 16,LastName16,xxxxxxxxx@yyyy.zzzz.ca
999999983,First Name 17,LastName17,xxxxxxxxx@yyyy.zzzz.ca
999999982,First Name 18,LastName18,xxxxxxxxx@yyyy.zzzz.ca
999999981,First Name 19,LastName19,xxxxxxxxx@yyyy.zzzz.ca
999999980,First Name 20,LastName20,xxxxxxxxx@yyyy.zzzz.ca
999999979,First Name 21,LastName21,xxxxxxxxx@yyyy.zzzz.ca
999999978,First Name 22,LastName22,xxxxxxxxx@yyyy.zzzz.ca
999999977,First Name 23,LastName23,xxxxxxxxx@yyyy.zzzz.ca
999999976,First Name 24,LastName24,xxxxxxxxx@yyyy.zzzz.ca
999999975,First Name 25,LastName25,xxxxxxxxx@yyyy.zzzz.ca
999999974,First Name 26,LastName26,xxxxxxxxx@yyyy.zzzz.ca
999999973,First Name 27,LastName27,xxxxxxxxx@yyyy.zzzz.ca
999999972,First Name 28,LastName28,xxxxxxxxx@yyyy.zzzz.ca
